envios	gan_sum	g1	g2	g3	g4	g5	gan_suavizada
228	2340000	2316000	1956000	2436000	2796000	2196000	
229	2409000	2433000	2073000	2433000	2913000	2193000	
230	2406000	2430000	2070000	2430000	2910000	2190000	
231	2427000	2427000	2067000	2427000	2907000	2307000	
232	2424000	2424000	2064000	2424000	2904000	2304000	
233	2421000	2421000	2061000	2421000	2901000	2301000	
234	2442000	2418000	2058000	2418000	2898000	2418000	
235	2487000	2535000	2055000	2535000	2895000	2415000	
236	2484000	2532000	2052000	2532000	2892000	2412000	
237	2481000	2529000	2049000	2529000	2889000	2409000	
238	2478000	2526000	2046000	2526000	2886000	2406000	
239	2499000	2643000	2043000	2523000	2883000	2403000	
240	2520000	2640000	2040000	2520000	3e+06	2400000	
241	2541000	2757000	2037000	2517000	2997000	2397000	
242	2538000	2754000	2034000	2514000	2994000	2394000	
243	2583000	2751000	2151000	2631000	2991000	2391000	
244	2580000	2748000	2148000	2628000	2988000	2388000	
245	2577000	2745000	2145000	2625000	2985000	2385000	
246	2598000	2742000	2142000	2622000	2982000	2502000	
247	2619000	2739000	2139000	2739000	2979000	2499000	
248	2616000	2736000	2136000	2736000	2976000	2496000	
249	2637000	2853000	2133000	2733000	2973000	2493000	
250	2634000	2850000	2130000	2730000	2970000	2490000	
251	2727000	2847000	2247000	2847000	3087000	2607000	
252	2724000	2844000	2244000	2844000	3084000	2604000	
253	2721000	2841000	2241000	2841000	3081000	2601000	
254	2742000	2838000	2238000	2838000	3078000	2718000	
255	2763000	2835000	2235000	2835000	3195000	2715000	
256	2760000	2832000	2232000	2832000	3192000	2712000	
257	2781000	2829000	2349000	2829000	3189000	2709000	
258	2778000	2826000	2346000	2826000	3186000	2706000	
259	2775000	2823000	2343000	2823000	3183000	2703000	
260	2796000	2820000	2340000	2820000	3180000	2820000	
261	2793000	2817000	2337000	2817000	3177000	2817000	
262	2790000	2814000	2334000	2814000	3174000	2814000	
263	2811000	2811000	2331000	2811000	3291000	2811000	
264	2832000	2808000	2328000	2808000	3288000	2928000	
265	2829000	2805000	2325000	2805000	3285000	2925000	
266	2826000	2802000	2322000	2802000	3282000	2922000	
267	2847000	2799000	2439000	2799000	3279000	2919000	
268	2844000	2796000	2436000	2796000	3276000	2916000	
269	2865000	2793000	2553000	2793000	3273000	2913000	
270	2886000	2790000	2550000	2910000	3270000	2910000	
271	2883000	2787000	2547000	2907000	3267000	2907000	
