envios	gan_sum	g1	g2	g3	g4	g5	gan_suavizada
192	2544000	2184000	2664000	2664000	2424000	2784000	
193	2613000	2301000	2661000	2781000	2421000	2901000	
194	2610000	2298000	2658000	2778000	2418000	2898000	
195	2631000	2295000	2655000	2775000	2535000	2895000	
196	2652000	2292000	2772000	2772000	2532000	2892000	
197	2649000	2289000	2769000	2769000	2529000	2889000	
198	2646000	2286000	2766000	2766000	2526000	2886000	
199	2643000	2283000	2763000	2763000	2523000	2883000	
200	2664000	2280000	2760000	2760000	2640000	2880000	
201	2685000	2397000	2757000	2757000	2637000	2877000	
202	2682000	2394000	2754000	2754000	2634000	2874000	
203	2679000	2391000	2751000	2751000	2631000	2871000	
204	2700000	2508000	2748000	2748000	2628000	2868000	
205	2745000	2625000	2745000	2745000	2745000	2865000	
206	2742000	2622000	2742000	2742000	2742000	2862000	
207	2739000	2619000	2739000	2739000	2739000	2859000	
208	2736000	2616000	2736000	2736000	2736000	2856000	
209	2733000	2613000	2733000	2733000	2733000	2853000	
210	2754000	2730000	2730000	2730000	2730000	2850000	
211	2751000	2727000	2727000	2727000	2727000	2847000	
212	2820000	2844000	2844000	2724000	2724000	2964000	
213	2841000	2841000	2841000	2721000	2841000	2961000	
214	2838000	2838000	2838000	2718000	2838000	2958000	
215	2835000	2835000	2835000	2715000	2835000	2955000	
216	2832000	2832000	2832000	2712000	2832000	2952000	
217	2853000	2949000	2829000	2709000	2829000	2949000	
218	2874000	2946000	2826000	2706000	2826000	3066000	
219	2919000	2943000	2823000	2703000	2943000	3183000	
220	2916000	2940000	2820000	2700000	2940000	3180000	
221	2937000	2937000	2817000	2817000	2937000	3177000	
222	3006000	2934000	2934000	2934000	3054000	3174000	
223	3027000	2931000	2931000	3051000	3051000	3171000	
224	3024000	2928000	2928000	3048000	3048000	3168000	
225	3045000	3045000	2925000	3045000	3045000	3165000	
226	3042000	3042000	2922000	3042000	3042000	3162000	
227	3087000	3159000	2919000	3159000	3039000	3159000	
228	3108000	3156000	2916000	3156000	3156000	3156000	
229	3105000	3153000	2913000	3153000	3153000	3153000	
230	3126000	3150000	2910000	3270000	3150000	3150000	
231	3147000	3147000	2907000	3267000	3147000	3267000	
232	3144000	3144000	2904000	3264000	3144000	3264000	
233	3141000	3141000	2901000	3261000	3141000	3261000	
234	3138000	3138000	2898000	3258000	3138000	3258000	
235	3135000	3135000	2895000	3255000	3135000	3255000	
236	3132000	3132000	2892000	3252000	3132000	3252000	
237	3177000	3249000	2889000	3369000	3129000	3249000	
238	3174000	3246000	2886000	3366000	3126000	3246000	
239	3195000	3243000	2883000	3483000	3123000	3243000	
240	3192000	3240000	2880000	3480000	3120000	3240000	
241	3213000	3357000	2877000	3477000	3117000	3237000	
242	3210000	3354000	2874000	3474000	3114000	3234000	
243	3207000	3351000	2871000	3471000	3111000	3231000	
244	3228000	3468000	2868000	3468000	3108000	3228000	
245	3249000	3465000	2865000	3585000	3105000	3225000	
246	3246000	3462000	2862000	3582000	3102000	3222000	
247	3267000	3459000	2859000	3579000	3099000	3339000	
248	3288000	3456000	2856000	3696000	3096000	3336000	
249	3333000	3573000	2973000	3693000	3093000	3333000	
250	3354000	3690000	2970000	3690000	3090000	3330000	
251	3351000	3687000	2967000	3687000	3087000	3327000	
252	3396000	3804000	3084000	3684000	3084000	3324000	
253	3393000	3801000	3081000	3681000	3081000	3321000	
254	3414000	3798000	3078000	3798000	3078000	3318000	
255	3435000	3795000	3075000	3915000	3075000	3315000	
256	3456000	3792000	3192000	3912000	3072000	3312000	
257	3453000	3789000	3189000	3909000	3069000	3309000	
258	3450000	3786000	3186000	3906000	3066000	3306000	
259	3447000	3783000	3183000	3903000	3063000	3303000	
260	3444000	3780000	3180000	3900000	3060000	3300000	
261	3441000	3777000	3177000	3897000	3057000	3297000	
262	3438000	3774000	3174000	3894000	3054000	3294000	
263	3459000	3771000	3171000	3891000	3171000	3291000	
264	3528000	3888000	3288000	3888000	3168000	3408000	
265	3525000	3885000	3285000	3885000	3165000	3405000	
266	3570000	3882000	3282000	3882000	3282000	3522000	
267	3591000	3879000	3279000	3999000	3279000	3519000	
268	3612000	3876000	3276000	3996000	3276000	3636000	
269	3657000	3873000	3273000	4113000	3273000	3753000	
270	3678000	3870000	3270000	4110000	3270000	3870000	
271	3675000	3867000	3267000	4107000	3267000	3867000	
272	3672000	3864000	3264000	4104000	3264000	3864000	
273	3669000	3861000	3261000	4101000	3261000	3861000	
274	3666000	3858000	3258000	4098000	3258000	3858000	
275	3663000	3855000	3255000	4095000	3255000	3855000	
276	3660000	3852000	3252000	4092000	3252000	3852000	
277	3681000	3849000	3249000	4089000	3249000	3969000	
278	3726000	3846000	3366000	4206000	3246000	3966000	
279	3723000	3843000	3363000	4203000	3243000	3963000	
280	3720000	3840000	3360000	4200000	3240000	3960000	
281	3741000	3837000	3477000	4197000	3237000	3957000	
282	3738000	3834000	3474000	4194000	3234000	3954000	
283	3759000	3831000	3471000	4191000	3351000	3951000	
284	3804000	3948000	3468000	4188000	3468000	3948000	
285	3825000	3945000	3585000	4185000	3465000	3945000	
286	3822000	3942000	3582000	4182000	3462000	3942000	
287	3843000	3939000	3699000	4179000	3459000	3939000	
288	3864000	3936000	3696000	4176000	3456000	4056000	
289	3885000	3933000	3693000	4173000	3573000	4053000	
290	3930000	3930000	3690000	4290000	3570000	4170000	
291	3951000	3927000	3687000	4287000	3687000	4167000	
292	3972000	3924000	3804000	4284000	3684000	4164000	
293	3993000	3921000	3801000	4401000	3681000	4161000	
294	3990000	3918000	3798000	4398000	3678000	4158000	
295	4011000	3915000	3915000	4395000	3675000	4155000	
296	4032000	3912000	4032000	4392000	3672000	4152000	
297	4029000	3909000	4029000	4389000	3669000	4149000	
298	4050000	3906000	4146000	4386000	3666000	4146000	
299	4047000	3903000	4143000	4383000	3663000	4143000	
300	4068000	4020000	4140000	4380000	3660000	4140000	
301	4089000	4017000	4137000	4497000	3657000	4137000	
302	4086000	4014000	4134000	4494000	3654000	4134000	
303	4107000	4011000	4251000	4491000	3651000	4131000	
304	4104000	4008000	4248000	4488000	3648000	4128000	
305	4125000	4125000	4245000	4485000	3645000	4125000	
306	4122000	4122000	4242000	4482000	3642000	4122000	
307	4119000	4119000	4239000	4479000	3639000	4119000	
308	4140000	4116000	4236000	4476000	3756000	4116000	
309	4161000	4233000	4233000	4473000	3753000	4113000	
310	4158000	4230000	4230000	4470000	3750000	4110000	
311	4179000	4227000	4227000	4467000	3747000	4227000	
312	4200000	4224000	4344000	4464000	3744000	4224000	
313	4221000	4221000	4341000	4461000	3861000	4221000	
314	4218000	4218000	4338000	4458000	3858000	4218000	
315	4239000	4215000	4335000	4575000	3855000	4215000	
316	4284000	4212000	4452000	4692000	3852000	4212000	
317	4281000	4209000	4449000	4689000	3849000	4209000	
318	4350000	4206000	4446000	4806000	3966000	4326000	
319	4371000	4203000	4443000	4803000	4083000	4323000	
320	4368000	4200000	4440000	4800000	4080000	4320000	
321	4437000	4197000	4557000	4917000	4077000	4437000	
322	4434000	4194000	4554000	4914000	4074000	4434000	
323	4455000	4191000	4551000	4911000	4191000	4431000	
324	4452000	4188000	4548000	4908000	4188000	4428000	
325	4449000	4185000	4545000	4905000	4185000	4425000	
326	4494000	4302000	4542000	4902000	4302000	4422000	
327	4491000	4299000	4539000	4899000	4299000	4419000	
328	4512000	4296000	4656000	4896000	4296000	4416000	
329	4509000	4293000	4653000	4893000	4293000	4413000	
330	4506000	4290000	4650000	4890000	4290000	4410000	
331	4503000	4287000	4647000	4887000	4287000	4407000	
332	4524000	4404000	4644000	4884000	4284000	4404000	
333	4521000	4401000	4641000	4881000	4281000	4401000	
334	4542000	4398000	4638000	4998000	4278000	4398000	
335	4563000	4395000	4755000	4995000	4275000	4395000	
336	4584000	4392000	4752000	4992000	4392000	4392000	
337	4581000	4389000	4749000	4989000	4389000	4389000	
338	4602000	4386000	4746000	4986000	4506000	4386000	
339	4623000	4503000	4743000	4983000	4503000	4383000	
340	4668000	4500000	4860000	5100000	4500000	4380000	
341	4689000	4497000	4977000	5097000	4497000	4377000	
342	4710000	4494000	4974000	5094000	4494000	4494000	
343	4707000	4491000	4971000	5091000	4491000	4491000	
344	4728000	4488000	4968000	5088000	4608000	4488000	
345	4725000	4485000	4965000	5085000	4605000	4485000	
346	4746000	4482000	5082000	5082000	4602000	4482000	
347	4767000	4479000	5079000	5199000	4599000	4479000	
348	4764000	4476000	5076000	5196000	4596000	4476000	
349	4785000	4593000	5073000	5193000	4593000	4473000	
350	4830000	4590000	5190000	5310000	4590000	4470000	
351	4851000	4707000	5187000	5307000	4587000	4467000	
352	4896000	4824000	5184000	5304000	4704000	4464000	
353	4917000	4821000	5181000	5301000	4821000	4461000	
354	4938000	4818000	5178000	5298000	4938000	4458000	
355	4959000	4815000	5175000	5295000	4935000	4575000	
356	4956000	4812000	5172000	5292000	4932000	4572000	
