fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	estimulos	ganancia	iteracion_bayesiana
20240508 195610	1055	290388	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	795	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.0100052333214276	0.646836661399444	1718	951	17561	70957599.7001499	45
20240508 200409	1055	290388	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1028	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.0100041768388076	0.655424821675007	1732	948	17648	71783496.2518741	46
20240508 201118	1055	290388	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	851	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.0100146637177497	0.657041610930636	1730	944	18577	72413827.5862069	47
20240508 201755	1055	290388	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	679	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.0100216606782251	0.657289183720772	1722	914	18358	71842161.9190405	48
20240508 202431	1055	290388	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	679	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.0100216606782251	0.657289183720772	1722	914	18358	71842161.9190405	49
20240508 203134	1055	290388	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	770	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.0100217710518975	0.65532146921611	1732	903	18501	71880688.155922	50
20240508 203902	1055	290388	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	844	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.0100214888740669	0.65711816916655	1745	884	19317	71974697.1514243	51
20240508 204549	1055	290388	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	677	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.0100033296698721	0.653532852034685	1727	874	18822	71932740.6296852	52
20240508 205301	1055	290388	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	786	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.0100117332717032	0.655297022206544	1730	862	18635	71763485.7571214	53
20240508 210025	1055	290388	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	786	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.0100117332717032	0.655297022206544	1730	862	18635	71763485.7571214	54
20240508 210735	1055	290388	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	786	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.0100117332717032	0.655297022206544	1730	862	18635	71763485.7571214	55
20240508 211447	1055	290388	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	786	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.0100117332717032	0.655297022206544	1730	862	18635	71763485.7571214	56
