envios	gan_sum	g1	g2	g3	g4	g5	gan_suavizada
283	3255000	3471000	2991000	3471000	3471000	2871000	
284	3252000	3468000	2988000	3468000	3468000	2868000	
285	3273000	3465000	2985000	3465000	3465000	2985000	
286	3270000	3462000	2982000	3462000	3462000	2982000	
287	3291000	3459000	2979000	3579000	3459000	2979000	
288	3312000	3456000	2976000	3576000	3456000	3096000	
289	3333000	3453000	2973000	3693000	3453000	3093000	
290	3330000	3450000	2970000	3690000	3450000	3090000	
291	3375000	3567000	2967000	3687000	3567000	3087000	
292	3396000	3564000	2964000	3684000	3564000	3204000	
293	3393000	3561000	2961000	3681000	3561000	3201000	
294	3438000	3678000	2958000	3678000	3558000	3318000	
295	3459000	3795000	2955000	3675000	3555000	3315000	
296	3456000	3792000	2952000	3672000	3552000	3312000	
297	3477000	3789000	2949000	3789000	3549000	3309000	
298	3498000	3786000	2946000	3906000	3546000	3306000	
299	3567000	3903000	2943000	4023000	3663000	3303000	
300	3612000	3900000	3060000	4020000	3660000	3420000	
301	3657000	4017000	3177000	4017000	3657000	3417000	
302	3678000	4014000	3174000	4014000	3774000	3414000	
303	3675000	4011000	3171000	4011000	3771000	3411000	
304	3696000	4008000	3168000	4008000	3768000	3528000	
305	3741000	4125000	3165000	4125000	3765000	3525000	
306	3738000	4122000	3162000	4122000	3762000	3522000	
307	3735000	4119000	3159000	4119000	3759000	3519000	
308	3756000	4116000	3156000	4236000	3756000	3516000	
309	3777000	4113000	3153000	4233000	3873000	3513000	
310	3822000	4230000	3150000	4230000	3870000	3630000	
311	3819000	4227000	3147000	4227000	3867000	3627000	
312	3816000	4224000	3144000	4224000	3864000	3624000	
313	3837000	4221000	3141000	4221000	3861000	3741000	
314	3858000	4218000	3138000	4218000	3858000	3858000	
315	3855000	4215000	3135000	4215000	3855000	3855000	
316	3900000	4212000	3132000	4332000	3852000	3972000	
317	3897000	4209000	3129000	4329000	3849000	3969000	
318	3894000	4206000	3126000	4326000	3846000	3966000	
319	3891000	4203000	3123000	4323000	3843000	3963000	
320	3912000	4200000	3120000	4320000	3840000	4080000	
321	3933000	4197000	3237000	4317000	3837000	4077000	
322	3954000	4194000	3234000	4314000	3834000	4194000	
323	4023000	4191000	3351000	4311000	3951000	4311000	
324	4020000	4188000	3348000	4308000	3948000	4308000	
325	4041000	4185000	3345000	4305000	4065000	4305000	
326	4062000	4302000	3342000	4302000	4062000	4302000	
327	4059000	4299000	3339000	4299000	4059000	4299000	
328	4056000	4296000	3336000	4296000	4056000	4296000	
329	4077000	4293000	3333000	4293000	4053000	4413000	
330	4098000	4290000	3450000	4290000	4050000	4410000	
331	4119000	4287000	3447000	4407000	4047000	4407000	
332	4140000	4284000	3564000	4404000	4044000	4404000	
333	4137000	4281000	3561000	4401000	4041000	4401000	
334	4134000	4278000	3558000	4398000	4038000	4398000	
335	4155000	4395000	3555000	4395000	4035000	4395000	
336	4176000	4392000	3552000	4392000	4152000	4392000	
337	4197000	4509000	3549000	4389000	4149000	4389000	
338	4242000	4626000	3666000	4386000	4146000	4386000	
339	4239000	4623000	3663000	4383000	4143000	4383000	
340	4236000	4620000	3660000	4380000	4140000	4380000	
341	4233000	4617000	3657000	4377000	4137000	4377000	
342	4254000	4614000	3654000	4494000	4134000	4374000	
343	4251000	4611000	3651000	4491000	4131000	4371000	
344	4248000	4608000	3648000	4488000	4128000	4368000	
345	4245000	4605000	3645000	4485000	4125000	4365000	
346	4242000	4602000	3642000	4482000	4122000	4362000	
347	4263000	4599000	3759000	4479000	4119000	4359000	
348	4260000	4596000	3756000	4476000	4116000	4356000	
349	4281000	4593000	3753000	4473000	4233000	4353000	
350	4302000	4590000	3750000	4590000	4230000	4350000	
351	4299000	4587000	3747000	4587000	4227000	4347000	
352	4296000	4584000	3744000	4584000	4224000	4344000	
353	4317000	4581000	3861000	4581000	4221000	4341000	
354	4314000	4578000	3858000	4578000	4218000	4338000	
355	4311000	4575000	3855000	4575000	4215000	4335000	
356	4332000	4572000	3852000	4572000	4332000	4332000	
357	4329000	4569000	3849000	4569000	4329000	4329000	
358	4374000	4686000	3966000	4566000	4326000	4326000	
359	4371000	4683000	3963000	4563000	4323000	4323000	
360	4392000	4680000	3960000	4560000	4440000	4320000	
361	4389000	4677000	3957000	4557000	4437000	4317000	
362	4386000	4674000	3954000	4554000	4434000	4314000	
363	4407000	4671000	3951000	4551000	4431000	4431000	
364	4428000	4668000	3948000	4548000	4548000	4428000	
365	4449000	4665000	4065000	4545000	4545000	4425000	
366	4470000	4662000	4062000	4542000	4542000	4542000	
367	4467000	4659000	4059000	4539000	4539000	4539000	
368	4512000	4656000	4056000	4656000	4656000	4536000	
369	4509000	4653000	4053000	4653000	4653000	4533000	
370	4506000	4650000	4050000	4650000	4650000	4530000	
371	4527000	4647000	4047000	4647000	4767000	4527000	
372	4548000	4644000	4164000	4644000	4764000	4524000	
373	4545000	4641000	4161000	4641000	4761000	4521000	
374	4542000	4638000	4158000	4638000	4758000	4518000	
375	4539000	4635000	4155000	4635000	4755000	4515000	
376	4560000	4632000	4152000	4632000	4872000	4512000	
377	4581000	4749000	4149000	4629000	4869000	4509000	
378	4602000	4746000	4146000	4626000	4986000	4506000	
379	4623000	4743000	4143000	4743000	4983000	4503000	
380	4692000	4860000	4140000	4740000	5100000	4620000	
381	4689000	4857000	4137000	4737000	5097000	4617000	
382	4686000	4854000	4134000	4734000	5094000	4614000	
383	4683000	4851000	4131000	4731000	5091000	4611000	
384	4680000	4848000	4128000	4728000	5088000	4608000	
385	4677000	4845000	4125000	4725000	5085000	4605000	
386	4698000	4842000	4122000	4722000	5082000	4722000	
387	4695000	4839000	4119000	4719000	5079000	4719000	
388	4692000	4836000	4116000	4716000	5076000	4716000	
389	4737000	4833000	4233000	4713000	5193000	4713000	
390	4758000	4830000	4350000	4710000	5190000	4710000	
391	4755000	4827000	4347000	4707000	5187000	4707000	
392	4776000	4824000	4344000	4704000	5304000	4704000	
393	4773000	4821000	4341000	4701000	5301000	4701000	
394	4794000	4818000	4338000	4818000	5298000	4698000	
395	4839000	4935000	4455000	4815000	5295000	4695000	
396	4836000	4932000	4452000	4812000	5292000	4692000	
397	4857000	5049000	4449000	4809000	5289000	4689000	
398	4902000	5046000	4566000	4926000	5286000	4686000	
399	4923000	5043000	4563000	5043000	5283000	4683000	
400	4944000	5040000	4680000	5040000	5280000	4680000	
401	4941000	5037000	4677000	5037000	5277000	4677000	
402	4962000	5034000	4674000	5154000	5274000	4674000	
403	4959000	5031000	4671000	5151000	5271000	4671000	
404	5028000	5028000	4788000	5268000	5268000	4788000	
405	5049000	5025000	4785000	5385000	5265000	4785000	
406	5046000	5022000	4782000	5382000	5262000	4782000	
407	5067000	5019000	4899000	5379000	5259000	4779000	
408	5064000	5016000	4896000	5376000	5256000	4776000	
409	5109000	5013000	4893000	5493000	5373000	4773000	
410	5130000	5130000	4890000	5490000	5370000	4770000	
411	5127000	5127000	4887000	5487000	5367000	4767000	
412	5148000	5124000	5004000	5484000	5364000	4764000	
413	5193000	5241000	5001000	5481000	5361000	4881000	
414	5238000	5238000	4998000	5598000	5478000	4878000	
415	5235000	5235000	4995000	5595000	5475000	4875000	
416	5256000	5232000	4992000	5592000	5472000	4992000	
417	5301000	5229000	5109000	5589000	5469000	5109000	
418	5298000	5226000	5106000	5586000	5466000	5106000	
419	5319000	5223000	5103000	5583000	5463000	5223000	
420	5316000	5220000	5100000	5580000	5460000	5220000	
421	5313000	5217000	5097000	5577000	5457000	5217000	
422	5334000	5214000	5214000	5574000	5454000	5214000	
423	5331000	5211000	5211000	5571000	5451000	5211000	
424	5352000	5208000	5208000	5688000	5448000	5208000	
425	5349000	5205000	5205000	5685000	5445000	5205000	
426	5394000	5322000	5322000	5682000	5442000	5202000	
427	5391000	5319000	5319000	5679000	5439000	5199000	
428	5388000	5316000	5316000	5676000	5436000	5196000	
429	5433000	5313000	5433000	5673000	5433000	5313000	
430	5478000	5310000	5550000	5670000	5550000	5310000	
431	5475000	5307000	5547000	5667000	5547000	5307000	
432	5472000	5304000	5544000	5664000	5544000	5304000	
433	5493000	5301000	5541000	5781000	5541000	5301000	
434	5514000	5298000	5538000	5778000	5658000	5298000	
435	5559000	5415000	5535000	5775000	5655000	5415000	
436	5604000	5412000	5532000	5772000	5772000	5532000	
437	5601000	5409000	5529000	5769000	5769000	5529000	
438	5622000	5526000	5526000	5766000	5766000	5526000	
439	5619000	5523000	5523000	5763000	5763000	5523000	
440	5616000	5520000	5520000	5760000	5760000	5520000	
441	5613000	5517000	5517000	5757000	5757000	5517000	
442	5658000	5514000	5514000	5754000	5874000	5634000	
443	5679000	5511000	5511000	5751000	5871000	5751000	
444	5700000	5628000	5508000	5748000	5868000	5748000	
445	5697000	5625000	5505000	5745000	5865000	5745000	
446	5694000	5622000	5502000	5742000	5862000	5742000	
447	5739000	5619000	5619000	5739000	5859000	5859000	
448	5736000	5616000	5616000	5736000	5856000	5856000	
449	5781000	5613000	5733000	5733000	5973000	5853000	
450	5826000	5730000	5850000	5730000	5970000	5850000	
451	5823000	5727000	5847000	5727000	5967000	5847000	
452	5820000	5724000	5844000	5724000	5964000	5844000	
453	5817000	5721000	5841000	5721000	5961000	5841000	
454	5814000	5718000	5838000	5718000	5958000	5838000	
455	5811000	5715000	5835000	5715000	5955000	5835000	
456	5832000	5712000	5832000	5832000	5952000	5832000	
457	5829000	5709000	5829000	5829000	5949000	5829000	
458	5826000	5706000	5826000	5826000	5946000	5826000	
459	5871000	5703000	5943000	5823000	6063000	5823000	
460	5892000	5700000	5940000	5820000	6180000	5820000	
461	5913000	5697000	6057000	5817000	6177000	5817000	
462	5910000	5694000	6054000	5814000	6174000	5814000	
463	5907000	5691000	6051000	5811000	6171000	5811000	
464	5928000	5688000	6048000	5928000	6168000	5808000	
465	5973000	5685000	6045000	6045000	6165000	5925000	
466	5994000	5682000	6042000	6042000	6282000	5922000	
467	5991000	5679000	6039000	6039000	6279000	5919000	
468	6012000	5676000	6036000	6036000	6396000	5916000	
469	6033000	5673000	6033000	6033000	6393000	6033000	
470	6054000	5670000	6030000	6030000	6510000	6030000	
471	6099000	5667000	6027000	6147000	6627000	6027000	
472	6120000	5664000	6024000	6144000	6744000	6024000	
473	6117000	5661000	6021000	6141000	6741000	6021000	
474	6114000	5658000	6018000	6138000	6738000	6018000	
475	6159000	5775000	6015000	6135000	6855000	6015000	
476	6180000	5892000	6012000	6132000	6852000	6012000	
477	6177000	5889000	6009000	6129000	6849000	6009000	
478	6198000	5886000	6006000	6246000	6846000	6006000	
479	6243000	5883000	6123000	6243000	6843000	6123000	
480	6240000	5880000	6120000	6240000	6840000	6120000	
481	6261000	5877000	6237000	6237000	6837000	6117000	
482	6258000	5874000	6234000	6234000	6834000	6114000	
483	6255000	5871000	6231000	6231000	6831000	6111000	
484	6252000	5868000	6228000	6228000	6828000	6108000	
485	6273000	5865000	6225000	6345000	6825000	6105000	
486	6294000	5982000	6222000	6342000	6822000	6102000	
487	6315000	5979000	6219000	6339000	6819000	6219000	
488	6312000	5976000	6216000	6336000	6816000	6216000	
489	6333000	5973000	6213000	6333000	6813000	6333000	
490	6354000	5970000	6330000	6330000	6810000	6330000	
491	6399000	6087000	6327000	6327000	6807000	6447000	
492	6396000	6084000	6324000	6324000	6804000	6444000	
493	6393000	6081000	6321000	6321000	6801000	6441000	
494	6438000	6078000	6318000	6438000	6918000	6438000	
495	6507000	6075000	6435000	6555000	6915000	6555000	
496	6552000	6192000	6552000	6552000	6912000	6552000	
497	6573000	6189000	6549000	6549000	6909000	6669000	
498	6594000	6306000	6546000	6546000	6906000	6666000	
499	6615000	6303000	6543000	6543000	7023000	6663000	
500	6636000	6420000	6540000	6540000	7020000	6660000	
501	6657000	6537000	6537000	6537000	7017000	6657000	
502	6702000	6654000	6534000	6534000	7014000	6774000	
503	6723000	6771000	6531000	6531000	7011000	6771000	
504	6744000	6768000	6528000	6528000	7128000	6768000	
505	6741000	6765000	6525000	6525000	7125000	6765000	
506	6738000	6762000	6522000	6522000	7122000	6762000	
507	6735000	6759000	6519000	6519000	7119000	6759000	
508	6780000	6756000	6636000	6516000	7116000	6876000	
509	6801000	6753000	6633000	6513000	7233000	6873000	
510	6798000	6750000	6630000	6510000	7230000	6870000	
511	6795000	6747000	6627000	6507000	7227000	6867000	
512	6816000	6744000	6624000	6504000	7224000	6984000	
513	6813000	6741000	6621000	6501000	7221000	6981000	
514	6834000	6858000	6618000	6498000	7218000	6978000	
515	6855000	6855000	6735000	6495000	7215000	6975000	
516	6852000	6852000	6732000	6492000	7212000	6972000	
517	6849000	6849000	6729000	6489000	7209000	6969000	
518	6846000	6846000	6726000	6486000	7206000	6966000	
519	6891000	6963000	6723000	6603000	7203000	6963000	
520	6888000	6960000	6720000	6600000	7200000	6960000	
521	6885000	6957000	6717000	6597000	7197000	6957000	
522	6882000	6954000	6714000	6594000	7194000	6954000	
523	6879000	6951000	6711000	6591000	7191000	6951000	
524	6900000	6948000	6828000	6588000	7188000	6948000	
525	6945000	7065000	6825000	6585000	7305000	6945000	
526	6942000	7062000	6822000	6582000	7302000	6942000	
527	6939000	7059000	6819000	6579000	7299000	6939000	
528	6936000	7056000	6816000	6576000	7296000	6936000	
529	6957000	7053000	6813000	6573000	7293000	7053000	
530	6978000	7050000	6930000	6570000	7290000	7050000	
531	6975000	7047000	6927000	6567000	7287000	7047000	
532	6972000	7044000	6924000	6564000	7284000	7044000	
533	6969000	7041000	6921000	6561000	7281000	7041000	
534	6966000	7038000	6918000	6558000	7278000	7038000	
535	6963000	7035000	6915000	6555000	7275000	7035000	
536	7008000	7152000	6912000	6552000	7272000	7152000	
537	7029000	7149000	6909000	6549000	7269000	7269000	
538	7026000	7146000	6906000	6546000	7266000	7266000	
539	7023000	7143000	6903000	6543000	7263000	7263000	
