fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	estimulos	ganancia	iteracion_bayesiana
20240510 022211	1055	293745	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	626	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.0100201816567984	0.513261359550516	1970	849	9124	30458104.9475262	33
20240510 023020	1055	293745	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	584	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.0100052133654007	0.519933579261446	1967	842	8904	30097535.2323838	34
20240510 023538	1055	293745	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	425	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.0100027513857169	0.78371982193772	1990	878	10639	29195143.928036	35
20240510 024243	1055	293745	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	413	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.0100060527172435	0.50828866962916	1910	845	8965	29861281.8590705	36
20240510 024959	1055	293745	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	491	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.0100449367545582	0.506595673690876	2044	941	8768	29776779.6101949	37
20240510 025658	1055	293745	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	394	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.0100131611265418	0.545298650279237	1830	865	9265	29474625.1874063	38
20240510 030420	1055	293745	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	519	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.0100152853049884	0.500160382084723	2032	1003	10234	29813022.4887556	39
20240510 031826	1055	293745	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	618	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.0102373731856354	0.500277987181586	1902	114	8232	31019922.0389805	40
20240510 034343	1055	293745	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	586	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.010046010986846	0.500099590121962	1792	100	8793	30744838.0809595	41
20240510 035058	1055	293745	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	217	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.0367839140511738	0.510907677798354	1731	100	8701	30052142.4287856	42
20240510 040450	1055	293745	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	555	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.0100169236040784	0.500502175630968	1839	102	8687	31057860.5697151	43
20240510 042818	1055	293745	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	803	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.0100416933365602	0.504096730292	1319	101	9278	30677184.4077961	44
20240510 044134	1055	293745	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	575	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.0101296105517279	0.510911742575121	1662	102	8544	30602602.6986507	45
20240510 045433	1055	293745	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	569	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.0100091088343081	0.505058812593645	1636	100	8736	30734848.5757121	46
20240510 050621	1055	293745	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	358	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.0100586538789053	0.699577084454133	1882	151	9017	29798235.3823088	47
20240510 052032	1055	293745	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	569	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.0100091088343081	0.505058812593645	1636	100	8736	30734848.5757121	48
20240510 053334	1055	293745	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	590	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.0100090356662053	0.506115482197442	1632	100	8591	30965710.6446777	49
20240510 054627	1055	293745	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	575	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.0101296105517279	0.510911742575121	1662	102	8544	30602602.6986507	50
20240510 055915	1055	293745	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	569	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.0100091088343081	0.505058812593645	1636	100	8736	30734848.5757121	51
20240510 061203	1055	293745	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	569	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.0100091088343081	0.505058812593645	1636	100	8736	30734848.5757121	52
20240510 061328	1055	293745	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	53	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.233608171952883	0.77109350732927	148	175	6546	25244938.5307346	53
20240510 061805	1055	293745	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	516	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.0101179232056223	0.637579389394618	2009	1608	9308	29513181.4092954	54
20240510 062846	1055	293745	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	336	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.0101400101737253	0.511555860865744	1660	102	8425	30575374.8125937	55
20240510 063011	1055	293745	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	388	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.100783837847001	0.784882301105587	10	1982	9820	30489025.4872564	56
20240510 063115	1055	293745	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	221	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.094034661457957	0.801829334060586	8	887	8865	29336814.0929535	57
20240510 063211	1055	293745	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	46	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.112403111621884	0.748853942069433	19	1998	9071	28583701.6491754	58
20240510 063406	1055	293745	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	115	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.0808928304994048	0.782532667193222	141	2000	9732	29894434.7826087	59
20240510 063548	1055	293745	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	57	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.10012069150248	0.848795787758448	278	1998	9670	30225262.3688156	60
20240510 063729	1055	293745	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	53	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.0997055916265518	0.805734334696667	1257	1999	9173	28966997.0014993	61
20240510 063842	1055	293745	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	295	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.0915470038256841	0.898786786545303	8	1999	8708	30518278.8605697	62
20240510 064106	1055	293745	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1101	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.0705465123878332	0.894091906284152	8	1971	9260	29768245.8770615	63
20240510 065947	1055	293745	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	361	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.0100162196428243	0.500699978392219	1715	102	8606	30648506.7466267	64
20240510 070058	1055	293745	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	221	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.104803101872203	0.899906291053189	12	1926	8583	29415377.8110945	65
20240510 070232	1055	293745	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	545	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.0904078589359808	0.651065605950951	8	1995	8444	30656725.6371814	66
