envios	gan_sum	g1	g2	g3	g4	g5	gan_suavizada
213	2217000	2481000	2361000	2241000	2121000	1881000	
214	2214000	2478000	2358000	2238000	2118000	1878000	
215	2211000	2475000	2355000	2235000	2115000	1875000	
216	2208000	2472000	2352000	2232000	2112000	1872000	
217	2229000	2469000	2349000	2349000	2109000	1869000	
218	2250000	2466000	2346000	2346000	2226000	1866000	
219	2271000	2463000	2343000	2343000	2343000	1863000	
220	2268000	2460000	2340000	2340000	2340000	1860000	
221	2265000	2457000	2337000	2337000	2337000	1857000	
222	2286000	2454000	2334000	2454000	2334000	1854000	
223	2331000	2451000	2331000	2571000	2331000	1971000	
224	2352000	2568000	2328000	2568000	2328000	1968000	
225	2397000	2685000	2445000	2565000	2325000	1965000	
226	2418000	2682000	2442000	2562000	2442000	1962000	
227	2439000	2679000	2439000	2679000	2439000	1959000	
228	2436000	2676000	2436000	2676000	2436000	1956000	
229	2433000	2673000	2433000	2673000	2433000	1953000	
230	2502000	2790000	2550000	2670000	2430000	2070000	
231	2499000	2787000	2547000	2667000	2427000	2067000	
232	2496000	2784000	2544000	2664000	2424000	2064000	
233	2565000	2781000	2541000	2781000	2541000	2181000	
234	2562000	2778000	2538000	2778000	2538000	2178000	
235	2559000	2775000	2535000	2775000	2535000	2175000	
236	2556000	2772000	2532000	2772000	2532000	2172000	
237	2577000	2769000	2649000	2769000	2529000	2169000	
238	2574000	2766000	2646000	2766000	2526000	2166000	
239	2571000	2763000	2643000	2763000	2523000	2163000	
240	2592000	2880000	2640000	2760000	2520000	2160000	
241	2589000	2877000	2637000	2757000	2517000	2157000	
242	2586000	2874000	2634000	2754000	2514000	2154000	
243	2583000	2871000	2631000	2751000	2511000	2151000	
244	2604000	2868000	2628000	2748000	2508000	2268000	
245	2649000	2985000	2625000	2865000	2505000	2265000	
246	2670000	2982000	2622000	2862000	2622000	2262000	
247	2667000	2979000	2619000	2859000	2619000	2259000	
248	2664000	2976000	2616000	2856000	2616000	2256000	
249	2685000	2973000	2613000	2853000	2733000	2253000	
250	2682000	2970000	2610000	2850000	2730000	2250000	
251	2679000	2967000	2607000	2847000	2727000	2247000	
252	2724000	3084000	2604000	2844000	2844000	2244000	
253	2721000	3081000	2601000	2841000	2841000	2241000	
254	2742000	3078000	2598000	2838000	2958000	2238000	
255	2739000	3075000	2595000	2835000	2955000	2235000	
256	2760000	3072000	2592000	2952000	2952000	2232000	
257	2757000	3069000	2589000	2949000	2949000	2229000	
258	2802000	3066000	2586000	3066000	2946000	2346000	
259	2799000	3063000	2583000	3063000	2943000	2343000	
260	2820000	3060000	2580000	3060000	3060000	2340000	
261	2865000	3057000	2697000	3057000	3057000	2457000	
262	2886000	3054000	2694000	3054000	3174000	2454000	
263	2907000	3051000	2811000	3051000	3171000	2451000	
264	2928000	3048000	2808000	3048000	3168000	2568000	
265	2925000	3045000	2805000	3045000	3165000	2565000	
266	2922000	3042000	2802000	3042000	3162000	2562000	
267	2967000	3159000	2799000	3039000	3159000	2679000	
268	2964000	3156000	2796000	3036000	3156000	2676000	
269	2961000	3153000	2793000	3033000	3153000	2673000	
270	3006000	3150000	2790000	3150000	3150000	2790000	
271	3051000	3147000	2787000	3267000	3147000	2907000	
272	3048000	3144000	2784000	3264000	3144000	2904000	
273	3069000	3141000	2781000	3261000	3261000	2901000	
274	3066000	3138000	2778000	3258000	3258000	2898000	
275	3159000	3255000	2895000	3375000	3255000	3015000	
276	3180000	3252000	2892000	3492000	3252000	3012000	
277	3201000	3249000	2889000	3489000	3249000	3129000	
278	3198000	3246000	2886000	3486000	3246000	3126000	
279	3243000	3243000	2883000	3603000	3243000	3243000	
280	3240000	3240000	2880000	3600000	3240000	3240000	
281	3261000	3237000	2877000	3597000	3237000	3357000	
282	3258000	3234000	2874000	3594000	3234000	3354000	
283	3279000	3231000	2871000	3591000	3351000	3351000	
284	3300000	3348000	2868000	3588000	3348000	3348000	
285	3345000	3465000	2865000	3585000	3465000	3345000	
286	3366000	3462000	2982000	3582000	3462000	3342000	
287	3435000	3459000	3099000	3579000	3579000	3459000	
288	3456000	3456000	3216000	3576000	3576000	3456000	
289	3453000	3453000	3213000	3573000	3573000	3453000	
290	3450000	3450000	3210000	3570000	3570000	3450000	
291	3447000	3447000	3207000	3567000	3567000	3447000	
292	3444000	3444000	3204000	3564000	3564000	3444000	
293	3441000	3441000	3201000	3561000	3561000	3441000	
294	3462000	3438000	3198000	3678000	3558000	3438000	
295	3483000	3435000	3195000	3675000	3555000	3555000	
296	3480000	3432000	3192000	3672000	3552000	3552000	
297	3477000	3429000	3189000	3669000	3549000	3549000	
298	3474000	3426000	3186000	3666000	3546000	3546000	
299	3471000	3423000	3183000	3663000	3543000	3543000	
300	3468000	3420000	3180000	3660000	3540000	3540000	
301	3489000	3417000	3297000	3657000	3537000	3537000	
302	3510000	3414000	3294000	3654000	3534000	3654000	
303	3507000	3411000	3291000	3651000	3531000	3651000	
304	3576000	3528000	3288000	3768000	3528000	3768000	
305	3597000	3645000	3285000	3765000	3525000	3765000	
306	3618000	3642000	3282000	3882000	3522000	3762000	
307	3639000	3639000	3399000	3879000	3519000	3759000	
308	3636000	3636000	3396000	3876000	3516000	3756000	
309	3657000	3633000	3393000	3993000	3513000	3753000	
310	3654000	3630000	3390000	3990000	3510000	3750000	
311	3651000	3627000	3387000	3987000	3507000	3747000	
312	3672000	3744000	3384000	3984000	3504000	3744000	
313	3669000	3741000	3381000	3981000	3501000	3741000	
314	3666000	3738000	3378000	3978000	3498000	3738000	
315	3663000	3735000	3375000	3975000	3495000	3735000	
316	3708000	3732000	3372000	4092000	3492000	3852000	
317	3729000	3729000	3489000	4089000	3489000	3849000	
318	3726000	3726000	3486000	4086000	3486000	3846000	
319	3747000	3723000	3483000	4083000	3603000	3843000	
320	3768000	3720000	3480000	4080000	3600000	3960000	
321	3765000	3717000	3477000	4077000	3597000	3957000	
322	3786000	3714000	3474000	4074000	3714000	3954000	
323	3783000	3711000	3471000	4071000	3711000	3951000	
324	3780000	3708000	3468000	4068000	3708000	3948000	
325	3801000	3705000	3465000	4065000	3705000	4065000	
326	3798000	3702000	3462000	4062000	3702000	4062000	
327	3795000	3699000	3459000	4059000	3699000	4059000	
328	3792000	3696000	3456000	4056000	3696000	4056000	
329	3837000	3813000	3453000	4053000	3813000	4053000	
330	3858000	3810000	3570000	4050000	3810000	4050000	
331	3855000	3807000	3567000	4047000	3807000	4047000	
332	3876000	3804000	3564000	4164000	3804000	4044000	
333	3897000	3801000	3561000	4281000	3801000	4041000	
334	3894000	3798000	3558000	4278000	3798000	4038000	
335	3915000	3795000	3555000	4275000	3795000	4155000	
336	3912000	3792000	3552000	4272000	3792000	4152000	
337	3933000	3789000	3669000	4269000	3789000	4149000	
338	3978000	3906000	3666000	4266000	3786000	4266000	
339	4023000	4023000	3663000	4263000	3783000	4383000	
340	4068000	4020000	3660000	4380000	3900000	4380000	
341	4089000	4137000	3657000	4377000	3897000	4377000	
342	4110000	4134000	3774000	4374000	3894000	4374000	
343	4107000	4131000	3771000	4371000	3891000	4371000	
344	4104000	4128000	3768000	4368000	3888000	4368000	
345	4101000	4125000	3765000	4365000	3885000	4365000	
346	4098000	4122000	3762000	4362000	3882000	4362000	
347	4119000	4239000	3759000	4359000	3879000	4359000	
348	4140000	4236000	3876000	4356000	3876000	4356000	
349	4137000	4233000	3873000	4353000	3873000	4353000	
350	4158000	4230000	3990000	4350000	3870000	4350000	
351	4179000	4227000	3987000	4467000	3867000	4347000	
352	4200000	4224000	3984000	4464000	3984000	4344000	
353	4221000	4221000	3981000	4461000	4101000	4341000	
354	4242000	4218000	4098000	4458000	4098000	4338000	
355	4239000	4215000	4095000	4455000	4095000	4335000	
356	4236000	4212000	4092000	4452000	4092000	4332000	
357	4281000	4209000	4209000	4569000	4089000	4329000	
358	4278000	4206000	4206000	4566000	4086000	4326000	
359	4275000	4203000	4203000	4563000	4083000	4323000	
360	4272000	4200000	4200000	4560000	4080000	4320000	
361	4293000	4197000	4197000	4557000	4077000	4437000	
362	4290000	4194000	4194000	4554000	4074000	4434000	
363	4287000	4191000	4191000	4551000	4071000	4431000	
364	4284000	4188000	4188000	4548000	4068000	4428000	
365	4329000	4185000	4305000	4665000	4065000	4425000	
