fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	estimulos	ganancia	iteracion_bayesiana
20240509 034542	1054	293745	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	480	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.0100264663339429	0.500141827971238	1968	116	21481	84936490.2548726	37
20240509 035258	1054	293745	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	476	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.0102649783393845	0.501907638585643	1583	1072	20462	85073790.1049475	38
20240509 035547	1054	293745	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	283	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.0368899509886774	0.894351668189516	2047	1999	20710	85022143.928036	39
20240509 035919	1054	293745	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	182	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.0528974913487182	0.500389954980384	1378	2000	18158	85653136.4317841	40
20240509 040248	1054	293745	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	182	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.0528974913487182	0.500389954980384	1378	2000	18158	85653136.4317841	41
20240509 040530	1054	293745	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	205	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.0531427030020919	0.589705312769089	1548	1933	17750	84565652.173913	42
20240509 041026	1054	293745	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	455	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.0101485441501657	0.82527583394999	2048	1346	19137	85313977.5112444	43
20240509 041643	1054	293745	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	404	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.0100023680096448	0.779007621790687	2048	641	20797	85097215.892054	44
20240509 042146	1054	293745	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	513	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.0100100936606582	0.862096861049352	2048	1485	19653	85553323.838081	45
20240509 042702	1054	293745	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	578	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.0100103821881119	0.898804891810847	2047	1565	19684	85841793.1034483	46
20240509 043253	1054	293745	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	578	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.0100103821881119	0.898804891810847	2047	1565	19684	85841793.1034483	47
20240509 043724	1054	293745	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	471	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.0101084938739247	0.899754517543461	1584	1992	19080	84377751.1244378	48
20240509 044316	1054	293745	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	581	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.010138335402186	0.899701875547335	2048	1397	19933	86107506.7466267	49
20240509 045137	1054	293745	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	345	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.0100850794736178	0.899766959362036	2047	431	19738	85950437.7811095	50
20240509 045658	1054	293745	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	469	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.0156663547857172	0.89988649490634	2047	997	21818	85217664.167916	51
20240509 051120	1054	293745	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	390	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.0102513306702888	0.897491989186233	2037	103	16697	84482973.0134933	52
